method,K,integrator,T,h,seed,environment,score,status,source_csv
I-MART-3,3,Imp,17,17,3,antmaze-umaze-diverse-v2,0,available,K=3/Imp/seed3.csv
I-MART-3,3,Imp,20,20,0,antmaze-umaze-diverse-v2,0,available,K=3/Imp/seed0.csv
I-MART-3,3,Imp,20,20,1,antmaze-umaze-diverse-v2,21,available,K=3/Imp/seed1.csv
I-MART-3,3,Imp,20,20,2,antmaze-umaze-diverse-v2,39,available,K=3/Imp/seed2.csv
I-MART-3,3,Imp,20,20,3,antmaze-umaze-diverse-v2,21,available,K=3/Imp/seed3.csv
I-MART-4,4,Imp,0.05,0.05,0,antmaze-umaze-diverse-v2,41,available,K=4/Imp/seed0.csv
I-MART-4,4,Imp,0.05,0.05,1,antmaze-umaze-diverse-v2,47,available,K=4/Imp/seed1.csv
I-MART-4,4,Imp,0.05,0.05,2,antmaze-umaze-diverse-v2,42,available,K=4/Imp/seed2.csv
I-MART-4,4,Imp,0.05,0.05,3,antmaze-umaze-diverse-v2,60,available,K=4/Imp/seed3.csv
I-MART-4,4,Imp,0.1,0.1,0,antmaze-umaze-diverse-v2,52,available,K=4/Imp/seed0.csv
I-MART-4,4,Imp,0.1,0.1,1,antmaze-umaze-diverse-v2,60,available,K=4/Imp/seed1.csv
I-MART-4,4,Imp,0.1,0.1,2,antmaze-umaze-diverse-v2,45,available,K=4/Imp/seed2.csv
I-MART-4,4,Imp,0.1,0.1,3,antmaze-umaze-diverse-v2,48,available,K=4/Imp/seed3.csv
I-MART-4,4,Imp,0.2,0.2,0,antmaze-umaze-diverse-v2,53,available,K=4/Imp/seed0.csv
I-MART-4,4,Imp,0.2,0.2,1,antmaze-umaze-diverse-v2,39,available,K=4/Imp/seed1.csv
I-MART-4,4,Imp,0.2,0.2,2,antmaze-umaze-diverse-v2,45,available,K=4/Imp/seed2.csv
I-MART-4,4,Imp,0.2,0.2,3,antmaze-umaze-diverse-v2,39,available,K=4/Imp/seed3.csv
I-MART-4,4,Imp,0.4,0.4,0,antmaze-umaze-diverse-v2,50,available,K=4/Imp/seed0.csv
I-MART-4,4,Imp,0.4,0.4,1,antmaze-umaze-diverse-v2,52,available,K=4/Imp/seed1.csv
I-MART-4,4,Imp,0.4,0.4,2,antmaze-umaze-diverse-v2,46,available,K=4/Imp/seed2.csv
I-MART-4,4,Imp,0.4,0.4,3,antmaze-umaze-diverse-v2,56,available,K=4/Imp/seed3.csv
I-MART-4,4,Imp,0.7,0.7,0,antmaze-umaze-diverse-v2,38,available,K=4/Imp/seed0.csv
I-MART-4,4,Imp,0.7,0.7,1,antmaze-umaze-diverse-v2,40,available,K=4/Imp/seed1.csv
I-MART-4,4,Imp,0.7,0.7,2,antmaze-umaze-diverse-v2,48,available,K=4/Imp/seed2.csv
I-MART-4,4,Imp,0.7,0.7,3,antmaze-umaze-diverse-v2,46,available,K=4/Imp/seed3.csv
I-MART-4,4,Imp,1.5,1.5,0,antmaze-umaze-diverse-v2,41,available,K=4/Imp/seed0.csv
I-MART-4,4,Imp,1.5,1.5,1,antmaze-umaze-diverse-v2,40,available,K=4/Imp/seed1.csv
I-MART-4,4,Imp,1.5,1.5,2,antmaze-umaze-diverse-v2,43,available,K=4/Imp/seed2.csv
I-MART-4,4,Imp,1.5,1.5,3,antmaze-umaze-diverse-v2,56,available,K=4/Imp/seed3.csv
I-MART-4,4,Imp,2.5,2.5,0,antmaze-umaze-diverse-v2,39,available,K=4/Imp/seed0.csv
I-MART-4,4,Imp,2.5,2.5,1,antmaze-umaze-diverse-v2,59,available,K=4/Imp/seed1.csv
I-MART-4,4,Imp,2.5,2.5,2,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed2.csv
I-MART-4,4,Imp,2.5,2.5,3,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed3.csv
I-MART-4,4,Imp,4,4,0,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed0.csv
I-MART-4,4,Imp,4,4,1,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed1.csv
I-MART-4,4,Imp,4,4,2,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed2.csv
I-MART-4,4,Imp,4,4,3,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed3.csv
I-MART-4,4,Imp,7,7,0,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed0.csv
I-MART-4,4,Imp,7,7,1,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed1.csv
I-MART-4,4,Imp,7,7,2,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed2.csv
I-MART-4,4,Imp,7,7,3,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed3.csv
I-MART-4,4,Imp,10,10,0,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed0.csv
I-MART-4,4,Imp,10,10,1,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed1.csv
I-MART-4,4,Imp,10,10,2,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed2.csv
I-MART-4,4,Imp,10,10,3,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed3.csv
I-MART-4,4,Imp,12,12,0,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed0.csv
I-MART-4,4,Imp,12,12,1,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed1.csv
I-MART-4,4,Imp,12,12,2,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed2.csv
I-MART-4,4,Imp,12,12,3,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed3.csv
I-MART-4,4,Imp,14,14,0,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed0.csv
I-MART-4,4,Imp,14,14,1,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed1.csv
I-MART-4,4,Imp,14,14,2,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed2.csv
I-MART-4,4,Imp,14,14,3,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed3.csv
I-MART-4,4,Imp,17,17,0,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed0.csv
I-MART-4,4,Imp,17,17,1,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed1.csv
I-MART-4,4,Imp,17,17,2,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed2.csv
I-MART-4,4,Imp,17,17,3,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed3.csv
I-MART-4,4,Imp,20,20,0,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed0.csv
I-MART-4,4,Imp,20,20,1,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed1.csv
I-MART-4,4,Imp,20,20,2,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed2.csv
I-MART-4,4,Imp,20,20,3,antmaze-umaze-diverse-v2,,missing,K=4/Imp/seed3.csv
