tau,hopper-medium-expert-v2,halfcheetah-medium-expert-v2,walker2d-medium-expert-v2
0.05,42.5705,61.0350,106.8890
0.1,40.8603,75.5016,104.5737
0.2,46.4652,88.7809,107.2547
0.4,39.9780,93.3996,105.2354
0.7,46.6805,89.1302,108.0229
1.5,66.5728,83.0557,109.1215
2.5,109.9126,82.8585,109.7081
4,104.8045,60.0311,51.3616
7,108.0037,64.5941,2.4702
10,1.8137,68.0786,10.2846
12,0.7891,55.3364,-0.2679
14,2.9523,44.8373,-0.2679
17,2.4677,43.1182,-0.1810
20,0.5930,42.7257,-0.1076
24,4.3289,46.6515,-0.1246
28,1.8137,48.1292,2.4618
34,2.1681,42.9567,-0.0959
40,1.8137,20.3266,0.5591
