tau,hopper-medium-expert-v2,halfcheetah-medium-expert-v2,walker2d-medium-expert-v2
0.05,41.0341,58.6563,75.9340
0.1,43.4941,62.6080,77.1251
0.2,42.8961,88.5758,106.9038
0.4,50.3523,86.9878,108.9400
0.7,49.7762,91.3109,108.8464
1.5,110.1977,88.6117,109.7059
2.5,109.2083,81.4477,110.7090
4,1.6472,73.0685,112.1156
7,8.3173,55.7034,7.9990
10,1.2088,55.3974,9.6905
12,5.4901,77.0887,3.0615
14,2.2060,59.3980,2.3272
17,0.7879,39.7824,11.8088
20,0.5801,26.9843,11.3017
24,1.9015,40.4821,-0.1075
28,0.7325,35.2649,-0.2683
34,0.7325,56.8762,2.3272
40,0.7675,26.5598,-0.2683
