tau,hopper-medium-expert-v2,halfcheetah-medium-expert-v2,walker2d-medium-expert-v2
0.05,42.4745,59.4532,91.4042
0.1,44.3156,74.2890,102.8684
0.2,42.5117,84.7399,97.1837
0.4,49.6553,94.2601,107.7754
0.7,52.7776,95.9095,108.0203
1.5,106.5087,86.7790,109.0795
2.5,102.2484,86.5651,110.3642
4,19.8160,84.2377,8.1820
7,1.2622,77.1231,75.2612
10,2.9595,51.5120,0.8815
12,2.8068,53.4823,75.1784
14,0.6609,38.8599,2.3018
17,0.7806,47.8640,-0.4675
20,0.5812,47.5995,-0.2699
24,1.8196,68.9090,-0.2699
28,0.7327,34.3847,2.3019
34,1.8196,24.8328,-0.1004
40,0.5932,22.5910,2.3019
