tau,hopper-medium-expert-v2,halfcheetah-medium-expert-v2,walker2d-medium-expert-v2
0.05,49.4901,64.3413,107.2226
0.1,49.0042,71.7145,107.6369
0.2,48.7187,84.7461,107.9430
0.4,50.9668,95.0848,108.3744
0.7,58.6342,94.4388,108.7488
1.5,78.7133,92.2684,108.6660
2.5,94.6094,80.4241,110.6447
4,110.4730,74.9259,54.7522
7,9.7945,68.3896,-0.6148
10,5.9290,74.6242,2.3684
12,0.5807,70.0873,2.3684
14,5.0857,75.7338,-0.2786
17,32.0049,62.6869,-0.2713
20,1.8199,43.5884,0.1795
24,0.7329,43.0639,2.3684
28,0.7342,22.0547,-0.2713
34,0.7891,27.5992,-0.3430
40,0.5807,17.6677,2.3684
