tau,hopper-medium-expert-v2,halfcheetah-medium-expert-v2,walker2d-medium-expert-v2
0.05,46.3545,51.9768,106.3367
0.1,47.9669,69.5362,108.0588
0.2,44.2626,71.5483,107.7081
0.4,45.9531,82.1182,109.1035
0.7,78.9079,78.2585,109.4968
1.5,109.8350,63.3811,111.2819
2.5,86.4487,62.8283,110.3136
4,104.8194,50.9452,112.1780
7,103.5603,55.6102,112.1289
10,80.6665,45.5526,115.7410
12,68.5649,36.3771,112.8713
14,55.3389,39.5191,113.8449
17,1.6040,42.4355,3.1860
20,2.0877,42.8921,110.9444
24,1.8122,53.7154,94.1477
28,0.7024,31.8483,2.3684
34,0.5807,45.6742,12.0026
40,0.7147,25.0657,-0.2713
