tau,hopper-medium-expert-v2,halfcheetah-medium-expert-v2,walker2d-medium-expert-v2
0.05,43.3771,54.0966,107.1791
0.1,47.4082,64.6430,108.0611
0.2,48.7141,80.2328,108.5390
0.4,47.3584,91.9279,109.0629
0.7,62.6557,77.5887,109.5480
1.5,103.0207,68.8838,111.5413
2.5,82.5970,41.9016,112.0600
4,109.7900,51.2836,113.2723
7,64.5916,49.3892,111.9305
10,105.9652,54.9655,33.7546
12,83.8698,35.7051,92.7370
14,2.3494,37.4712,3.7677
17,7.8613,44.1943,-0.2175
20,0.8508,25.4653,10.8525
24,1.4581,27.3901,3.6346
28,1.1492,24.8348,2.3019
34,0.5812,25.9581,-0.1726
40,0.8441,28.3602,2.3019
