tau,hopper-medium-expert-v2,halfcheetah-medium-expert-v2,walker2d-medium-expert-v2
0.05,45.9303,51.7490,106.2483
0.1,46.5847,59.6708,107.1105
0.2,51.0797,80.0821,108.2514
0.4,48.5321,88.7094,109.0337
0.7,60.2518,74.0050,109.7916
1.5,82.2610,52.0390,111.1057
2.5,106.1099,57.8201,111.1365
4,104.6477,59.1150,111.6568
7,85.7501,47.8156,112.7002
10,49.9666,48.9205,116.3086
12,67.3863,57.3077,114.4809
14,0.5856,26.6129,103.1288
17,57.2684,40.8936,113.6443
20,2.1286,27.5357,113.6062
24,4.0275,33.5110,114.0630
28,2.3494,50.7284,0.4386
34,1.9188,49.1288,92.0583
40,2.2394,48.8228,11.1674
