tau,hopper-medium-expert-v2,halfcheetah-medium-expert-v2,walker2d-medium-expert-v2
0.05,51.4254,51.2538,78.9680
0.1,45.1104,49.2900,83.0779
0.2,46.0039,69.9439,107.0324
0.4,56.3431,84.6653,108.2271
0.7,55.2822,88.3424,108.5157
1.5,99.4870,58.7994,109.9008
2.5,107.9655,62.7988,109.9176
4,109.7411,55.5105,110.8876
7,88.1818,27.2129,112.1631
10,104.4841,58.3548,110.1124
12,38.3798,25.1760,33.1866
14,27.1667,26.5706,77.1256
17,0.8976,20.7576,0.6080
20,1.9978,55.3157,2.6165
24,1.0449,62.0325,0.3495
28,58.9105,33.8175,-0.2679
34,0.9187,40.0158,-0.2679
40,0.9401,61.8938,-0.6025
