environment,seed,T,K,h,n_states,full_resident,full_relu_cross,full_box_cross,full_tie_cross,full_boundary_ambiguous,full_boundary_touch,full_nonfinite,step_resident,step_relu_cross,step_box_cross,step_tie_cross,step_boundary_ambiguous,step_boundary_touch,step_nonfinite,full_residence_fraction,step_residence_fraction,full_affine_q_max_abs_residual
walker2d-expert-v2,1,0.025,1,0.025,512,509,3,0,0,0,0,0,509,3,0,0,0,0,0,0.994140625,0.994140625,3.410605131648481e-13
walker2d-expert-v2,1,0.025,2,0.0125,512,509,3,0,0,0,0,0,511,1,0,0,0,0,0,0.994140625,0.998046875,3.410605131648481e-13
walker2d-expert-v2,1,0.025,4,0.00625,512,509,3,0,0,0,0,0,511,1,0,0,0,0,0,0.994140625,0.998046875,3.410605131648481e-13
walker2d-expert-v2,1,0.025,8,0.003125,512,509,3,0,0,0,0,0,511,1,0,0,0,0,0,0.994140625,0.998046875,3.410605131648481e-13
walker2d-expert-v2,1,0.025,16,0.0015625,512,509,3,0,0,0,0,0,512,0,0,0,0,0,0,0.994140625,1.0,3.410605131648481e-13
walker2d-expert-v2,1,0.05,1,0.05,512,502,10,0,0,0,0,0,502,10,0,0,0,0,0,0.98046875,0.98046875,2.2737367544323206e-13
walker2d-expert-v2,1,0.05,2,0.025,512,502,10,0,0,0,0,0,509,3,0,0,0,0,0,0.98046875,0.994140625,2.2737367544323206e-13
walker2d-expert-v2,1,0.05,4,0.0125,512,502,10,0,0,0,0,0,511,1,0,0,0,0,0,0.98046875,0.998046875,2.2737367544323206e-13
walker2d-expert-v2,1,0.05,8,0.00625,512,502,10,0,0,0,0,0,511,1,0,0,0,0,0,0.98046875,0.998046875,2.2737367544323206e-13
walker2d-expert-v2,1,0.05,16,0.003125,512,502,10,0,0,0,0,0,511,1,0,0,0,0,0,0.98046875,0.998046875,2.2737367544323206e-13
walker2d-expert-v2,1,0.1,1,0.1,512,486,26,0,0,0,0,0,486,26,0,0,0,0,0,0.94921875,0.94921875,2.8421709430404007e-13
walker2d-expert-v2,1,0.1,2,0.05,512,486,26,0,0,0,0,0,502,10,0,0,0,0,0,0.94921875,0.98046875,2.8421709430404007e-13
walker2d-expert-v2,1,0.1,4,0.025,512,486,26,0,0,0,0,0,509,3,0,0,0,0,0,0.94921875,0.994140625,2.8421709430404007e-13
walker2d-expert-v2,1,0.1,8,0.0125,512,486,26,0,0,0,0,0,511,1,0,0,0,0,0,0.94921875,0.998046875,2.8421709430404007e-13
walker2d-expert-v2,1,0.1,16,0.00625,512,486,26,0,0,0,0,0,511,1,0,0,0,0,0,0.94921875,0.998046875,2.8421709430404007e-13
walker2d-expert-v2,1,0.2,1,0.2,512,465,47,0,0,0,0,0,465,47,0,0,0,0,0,0.908203125,0.908203125,2.2737367544323206e-13
walker2d-expert-v2,1,0.2,2,0.1,512,465,47,0,0,0,0,0,486,26,0,0,0,0,0,0.908203125,0.94921875,2.2737367544323206e-13
walker2d-expert-v2,1,0.2,4,0.05,512,465,47,0,0,0,0,0,502,10,0,0,0,0,0,0.908203125,0.98046875,2.2737367544323206e-13
walker2d-expert-v2,1,0.2,8,0.025,512,465,47,0,0,0,0,0,509,3,0,0,0,0,0,0.908203125,0.994140625,2.2737367544323206e-13
walker2d-expert-v2,1,0.2,16,0.0125,512,465,47,0,0,0,0,0,511,1,0,0,0,0,0,0.908203125,0.998046875,2.2737367544323206e-13
